payCardID,Passenger,age,age_group,payCardSex,payCardBank,total_number_of_Transactions,Most_frequent_corridorName,Most_frequent_tapInStopsName,Most_Frequent_tapOutStopsName,signup_date,last_active_date
564779969448,"Yance Suryono, S.Farm",42,Non-Student,F,flazz,4,Harapan Baru - Pulo Gebang via Rawa Kuning,Kayu Putih Rawasari,Cipinang Kebon Nanas,2023-04-08 18:03:32,2023-04-29 11:40:15
564804206261,dr. Fitriani Rajata,21,Non-Student,M,flazz,4,Ciputat - Kampung Rambutan,Penjaringan,Flyover Raya Bogor,2023-04-09 13:39:44,2023-04-30 10:18:51
565431772831,"Azalea Setiawan, S.E.",17,Student,F,flazz,40,Kampung Rambutan - Tanjung Priok,Cempaka Putih,Pasar Induk Kramat Jati,2023-04-03 05:36:19,2023-04-28 19:28:01
565511286645,Sutan Nasim Saragih,12,Student,F,flazz,39,Rusun Komarudin - Penggilingan,Walikota Jakarta Timur,Penggilingan,2023-04-03 07:04:05,2023-04-28 20:34:25
565845480021,Cakrajiya Fujiati,32,Non-Student,F,flazz,3,Cililitan - Kp. Pulo,Sbr. Graha Dirgantara,Kayu Putih Rawasari,2023-04-09 06:29:34,2023-04-30 11:06:29
565988717981,Salimah Suartini,32,Non-Student,M,flazz,3,Lebak Bulus - Cipulir,BSI 2,Ps. Sayur Cipulir,2023-04-08 18:00:12,2023-04-23 06:00:57
566171543168,Laila Simanjuntak,32,Non-Student,F,flazz,39,Pulo Gebang - Matraman,Slamet Riyadi,Matraman 1,2023-04-03 05:13:45,2023-04-28 18:36:09
566942923723,Harimurti Hariyah,26,Non-Student,F,flazz,4,Cinere - Bundaran Senayan,Bundaran Senayan 2,Bundaran HI,2023-04-09 17:42:51,2023-04-29 15:23:07
567048101008,"Drs. Faizah Widodo, S.H.",23,Non-Student,F,flazz,14,Palem Semi - Bundaran Senayan,FX Sudirman,GBK Pintu 7,2023-04-13 06:52:32,2023-04-19 22:05:08
567169910336,Aurora Waskita,20,Non-Student,M,flazz,38,Pantai Maju - Kota,Karang Asri 2,Simpang Pakin 3,2023-04-03 06:31:03,2023-04-28 19:05:49
567286069354,"Dt. Atmaja Suartini, M.Farm",24,Non-Student,F,flazz,36,Stasiun Tebet - Kampung Melayu,Bidara Cina 1,Jatinegara Timur,2023-04-03 06:12:01,2023-04-28 18:33:18
567328477953,"Dr. Puput Wijaya, S.T.",69,Non-Student,F,flazz,4,Lebak Bulus - Ragunan,Bundaran Senayan,Jln. Warakas I Gg. 5,2023-04-09 21:46:31,2023-04-30 13:52:16
568339050417,Ganda Latupono,14,Student,F,flazz,1,Pulo Gadung - Kota,Galur 2,Jembatan Perempatan Cempaka Putih Timur,2023-04-10 12:12:37,2023-04-10 12:36:51
569536767183,Jamalia Zulaika,39,Non-Student,F,flazz,39,Taman Kota - Budi Luhur,Simpang Permata Meruya 2,Jln. Mawar Kav DKI,2023-04-03 08:48:11,2023-04-28 21:23:29
570918242399,Mumpuni Gunarto,26,Non-Student,F,flazz,38,Kampung Rambutan - Tanjung Priok,Pulo Mas Bypass,Plumpang Pertamina Arah Utara,2023-04-03 17:36:20,2023-04-28 18:45:51
570928206772,Embuh Mardhiyah,42,Non-Student,M,flazz,40,Tanjung Priok - Pluit,Sunter Boulevard Barat,Kali Besar Barat,2023-04-03 06:17:35,2023-04-28 19:44:12
571548857234,Yance Wahyuni,31,Non-Student,M,flazz,14,Meruya - Blok M,BSI 2,Ruko Meruya Ilir,2023-04-13 13:32:07,2023-04-19 18:02:13
571979859337,Queen Tarihoran,41,Non-Student,M,flazz,38,Matraman Baru - Ancol,Budi Utomo,Pal Putih,2023-04-03 09:55:15,2023-04-28 21:12:47
572311836488,Cornelia Haryanti,35,Non-Student,F,flazz,1,Jelambar - Kota,Glodok,Kota,2023-04-07 13:19:18,2023-04-07 14:05:43
572544509597,drg. Kayun Safitri,37,Non-Student,M,flazz,38,Kalideres - Bundaran HI via Veteran,Grogol 1,Dispenda Samsat Barat,2023-04-03 07:59:05,2023-04-28 20:07:34
572846044996,Soleh Natsir,24,Non-Student,F,flazz,39,Kalibata - Kuningan,Sbr. Jln. Tebet Utara III,Keselamatan,2023-04-03 09:42:43,2023-04-28 19:35:02
573673840092,Nasab Yuliarti,30,Non-Student,F,flazz,4,Cilincing - Rorotan,Bidara Cina,Gelanggang Remaja,2023-04-09 20:14:27,2023-04-29 15:09:39
573891473155,Edison Marpaung,22,Non-Student,M,flazz,1,Bintaro - Blok M,Kantor Pos Kebayoran Lama,RS Pusat Pertamina 2,2023-04-21 06:13:58,2023-04-21 08:45:56
573942256138,Xanana Hartati,43,Non-Student,M,flazz,38,Lebak Bulus - Pasar Baru via Tomang,Duri Kepa,Kebon Jeruk,2023-04-03 09:20:35,2023-04-28 21:28:10
574726750023,drg. Lukita Rajata,41,Non-Student,F,flazz,36,Bulak Turi - Tanjung Priok,Pertamina Kilang Minyak,Jln. Elpa Putih II,2023-04-03 05:12:53,2023-04-28 19:16:50
574887290025,Gina Widiastuti,65,Non-Student,M,flazz,4,Blok M - Kota,Halimun,Kejaksaan Agung,2023-04-08 08:14:50,2023-04-30 11:13:47
575273480229,Harimurti Purnawati,28,Non-Student,F,flazz,38,PGC 2 - Grogol 2,Pancoran Tugu Arah Barat,Pancoran Barat Arah Timur,2023-04-03 09:24:45,2023-04-28 23:37:01
575724437786,Upik Maheswara,15,Student,F,flazz,40,Rusun Cipinang Muara - Jatinegara,Imigrasi Jaktim 1,SMPN 14,2023-04-03 08:36:34,2023-04-28 21:19:36
576927814706,Lili Siregar,42,Non-Student,M,flazz,1,Blok M - Kota,Bundaran HI,Blok M,2023-04-17 09:19:15,2023-04-17 12:02:28
577158629979,Galih Pradana,26,Non-Student,F,flazz,4,Bintaro - Blok M,DPR MPR 2,Bintaro,2023-04-09 10:05:14,2023-04-30 11:09:03
578253836568,Talia Prayoga,39,Non-Student,M,flazz,39,Ciputat - Kampung Rambutan,Lebak Bulus,Jln. Sandratex 2,2023-04-03 07:33:19,2023-04-28 19:44:34
579114498853,Kalim Hidayanto,38,Non-Student,F,flazz,4,Cinere - Bundaran Senayan,Bundaran Senayan 2,Karet Kuningan,2023-04-09 14:45:47,2023-04-29 10:18:47
579559716439,Indah Zulaika,23,Non-Student,M,flazz,4,Rusun Marunda - Terminal Terpadu Pulo Gebang,Adam Malik,Karet Kuningan,2023-04-08 20:08:13,2023-04-29 15:21:57
580165317646,R.A. Janet Nasyidah,40,Non-Student,F,flazz,12,Pasar Minggu - Tanah Abang,Komdak 1,Blok F,2023-04-13 05:59:10,2023-04-19 19:30:35
580183341537,Rika Sihombing,38,Non-Student,M,flazz,1,Tanah Abang - Jembatan Lima,Term. Bayangan Kota Intan,Museum Bahari 1,2023-04-08 05:10:14,2023-04-08 05:40:25
581570008267,"Genta Utama, S.E.I",38,Non-Student,M,flazz,1,Kalideres - Bundaran HI via Veteran,Petojo,Bundaran HI,2023-04-19 15:14:24,2023-04-19 17:58:41
584795923666,"Tgk. Dasa Pangestu, S.E.I",59,Non-Student,F,flazz,39,Kampung Rambutan - Ragunan,Kebagusan Raya,Kementan,2023-04-03 06:55:04,2023-04-28 19:29:08
585314901299,Prasetyo Nashiruddin,40,Non-Student,F,flazz,36,Stasiun Tebet - Kampung Melayu,Jln. Limo Jatinegara Timur,Sekolah Cahaya Sakti Otista I,2023-04-03 08:39:59,2023-04-28 20:14:12
586670325479,"Viktor Uyainah, M.TI.",40,Non-Student,F,flazz,39,Taman Waduk Papanggo - Kota Tua,Jembatan Item,Puskesmas Kel. Papanggo,2023-04-03 08:07:37,2023-04-28 23:05:03
586818272435,"KH. Paiman Maheswara, S.I.Kom",55,Non-Student,M,flazz,37,Pancoran - Kampung Rambutan,Jembatan Pintu Satu,Cawang Ciliwung Arah Barat,2023-04-03 05:05:51,2023-04-28 17:19:15
587526878497,Sidiq Prastuti,33,Non-Student,M,flazz,4,Bekasi Barat - Kuningan,GOR Sumantri 2,Karet Kuningan 2,2023-04-09 11:01:38,2023-04-30 13:40:31
587537853984,"Raisa Putra, M.Ak",35,Non-Student,F,flazz,39,Pancoran - Kampung Rambutan,Sbr. RS Moh Ridwan Meuraksa,Pancoran Tugu Arah Barat,2023-04-03 06:08:30,2023-04-28 18:39:00
587887634588,Drs. Harjo Nurdiyanti,38,Non-Student,M,flazz,36,Jakarta International Stadium - Senen,Danau Agung 1,Honda Letjen Suprapto,2023-04-03 06:42:45,2023-04-28 17:35:11
587942434511,"R.A. Elvina Andriani, S.Pt",29,Non-Student,M,flazz,39,Pinang Ranti - Pramuka,BKN,Pinang Ranti,2023-04-03 08:09:32,2023-04-28 19:27:48
588376777318,Alika Halimah,39,Non-Student,M,flazz,13,Kp. Rambutan - Taman Wiladatika,Gg. Ali,Simpang Lapangan Tembak Raya Bogor,2023-04-13 11:23:11,2023-04-19 16:17:23
589057391023,Vega Anggraini,34,Non-Student,F,flazz,38,Pangkalan Jati - Rawamangun,Komplek Wijaya Kusuma 2,Apotik Rini Rawamangun,2023-04-03 08:30:27,2023-04-28 21:46:12
630411801479,Hasim Utami,30,Non-Student,F,flazz,38,Cililitan - Condet,Sbr. Kel. Balekambang,Midi Utama Condet Raya,2023-04-03 08:13:39,2023-04-28 19:08:24
630413421839,"Satya Suryatmi, M.M.",23,Non-Student,F,flazz,3,Ragunan - Dukuh Atas 2,Duren Tiga,Ragunan,2023-04-08 14:03:22,2023-04-30 13:32:04
630419596436,"Hani Ardianto, S.Ked",27,Non-Student,F,flazz,14,Cibubur Junction - Blok M,Kartika Candra,Cibubur Junction,2023-04-13 13:10:44,2023-04-19 21:01:41
630440475063,Jaiman Sinaga,31,Non-Student,F,flazz,4,Kampung Rambutan - Blok M,Sbr. TPU Karet Bivak,BKN,2023-04-08 19:02:55,2023-04-29 05:50:34
630464739089,Dt. Praba Adriansyah,40,Non-Student,F,flazz,4,Pluit - Senen,Latumeten Stasiun Grogol Arah Utara,Jembatan Besi,2023-04-09 08:38:32,2023-04-30 10:23:17
630465282121,Agus Utami,33,Non-Student,M,flazz,4,Grogol - Pos Pengumben via Slipi,Jln. Musyawarah Panjang Arteri,Kel. Penjaringan,2023-04-08 12:42:51,2023-04-29 19:03:10
630465586752,Winda Puspita,65,Non-Student,M,flazz,37,Dukuh Atas - Casablanca via Epicentrum Raya,Puri Imperium,Simpang Kawi Raya,2023-04-03 05:05:31,2023-04-28 19:06:59
630468015049,Rama Budiyanto,44,Non-Student,M,flazz,1,Kp. Rambutan - Taman Wiladatika,Gg. Ali,Sbr. SMKN 52,2023-04-30 08:12:13,2023-04-30 10:26:53
630468899772,Rahman Marbun,22,Non-Student,M,flazz,4,Cilangkap - Cililitan,Jelambar,Bundaran HI,2023-04-08 15:44:08,2023-04-30 18:09:12
630470696539,"Jaswadi Padmasari, S.E.I",31,Non-Student,F,flazz,38,Stasiun Tebet - Karet via Underpass,Karet Pedurenan 2,Bundaran Senayan 1,2023-04-03 07:16:18,2023-04-28 20:08:37
630471439459,Aisyah Budiman,13,Student,F,flazz,14,Kampung Rambutan - Bidara Cina,Cawang Otista,Gelanggang Remaja,2023-04-13 12:50:30,2023-04-19 17:56:56
630480849201,"Cut Tira Zulaika, M.Ak",33,Non-Student,M,flazz,4,Kalideres - Puri Kembangan,Jln. Menceng Raya,Klinik Andhika Rawa Buaya,2023-04-09 10:08:22,2023-04-30 08:45:44
630485154219,Jaga Saputra,12,Student,M,flazz,13,Stasiun Tebet - Rusun Karet Tengsin,Puri Casablanca,Casablanca,2023-04-13 10:43:30,2023-04-19 21:08:55
630486994241,"H. Aswani Megantara, M.M.",16,Student,M,flazz,39,Senen - Blok M,Kementerian Pariwisata,Monas 2,2023-04-03 05:07:43,2023-04-28 17:24:30
630487347266,"drg. Dinda Prastuti, S.Sos",60,Non-Student,M,flazz,14,Kalibata - Kuningan,Jln. Barkah III Manggarai Selatan,Sbr. Masjid Al Bakrie,2023-04-13 12:39:29,2023-04-19 19:57:06
630487570438,"Hana Mandala, S.Pt",59,Non-Student,M,flazz,4,Kalideres - Bundaran HI via Veteran,Jelambar,Atrium 1,2023-04-08 08:52:21,2023-04-30 15:11:44
630495252185,Siska Simbolon,38,Non-Student,F,flazz,4,Kalideres - Bundaran HI via Veteran,BNN Arah Barat,Gelanggang Remaja,2023-04-09 08:54:35,2023-04-30 10:29:22
639000296355,Catur Najmudin,12,Student,F,flazz,37,BSD Serpong - Fatmawati,St. MRT Fatmawati,Term. BSD,2023-04-03 07:39:44,2023-04-28 06:55:34
639010421852,"Gara Marbun, S.Gz",56,Non-Student,M,flazz,1,Kampung Rambutan - Bidara Cina,Tanah Merdeka Arah Barat,PGC 1,2023-04-21 06:56:59,2023-04-21 08:40:42
639030041482,"Akarsana Nurdiyanti, M.Farm",14,Student,M,flazz,4,Blok M - Kota,Kampung Melayu Besar 2,Jelambar,2023-04-08 09:44:23,2023-04-30 11:30:26
639038023698,Rahmi Mulyani,14,Student,F,flazz,4,Kalideres - Bundaran HI via Veteran,Pal Batu 2,Grogol 1,2023-04-08 06:29:57,2023-04-30 17:20:00
639040388584,"Galang Megantara, S.Ked",35,Non-Student,M,flazz,39,Harmoni - Jakarta International Stadium,Kemayoran Landas Pacu Timur,Pecenongan,2023-04-03 06:32:51,2023-04-28 19:47:02
639040716958,"Ir. Shania Suryatmi, M.Ak",31,Non-Student,M,flazz,3,Kampung Rambutan - Pasar Rebo via Poncol,Flyover Jatinegara 2,Dharma Bakti Cijantung,2023-04-08 13:09:19,2023-04-29 14:18:11
639048791417,"Gantar Namaga, S.Sos",35,Non-Student,F,flazz,40,Pulo Gadung 2 - Tosari,Dukuh Atas 2,Matraman 2,2023-04-03 08:04:03,2023-04-28 21:09:18
639067876230,"Rizki Firmansyah, M.Farm",48,Non-Student,M,flazz,38,Bulak Turi - Tanjung Priok,Simpang Camar 2,Masjid Al Murtamiyyah Marunda,2023-04-03 17:36:36,2023-04-28 22:46:16
639074274320,Mulya Hutapea,13,Student,F,flazz,1,Puri Beta - Pancoran Barat,Kebayoran Lama,Mayestik,2023-04-22 09:02:41,2023-04-22 11:42:14
639083950241,H. Hadi Susanti,32,Non-Student,F,flazz,38,Rusun Cipinang Besar Selatan - Penas Kalimalang,Penas Kalimalang 2,STMT Trisakti 1,2023-04-03 09:54:13,2023-04-28 21:51:50
639099174703,Surya Wacana,46,Non-Student,F,flazz,39,Pulo Gebang - Pulo Gadung 2 via PIK,Taman Elok 1,Raya Penggilingan,2023-04-03 05:44:51,2023-04-28 17:50:43
675931790124,"Prayoga Siregar, S.Gz",61,Non-Student,F,flazz,4,Harmoni - Jakarta International Stadium,Jln. Kejaksaan Pondok Bambu,Pecenongan,2023-04-08 13:54:35,2023-04-30 20:41:53
675934713586,Cornelia Wijayanti,16,Student,M,flazz,1,Kampung Rambutan - Bidara Cina,Flyover Raya Bogor,Kampung Rambutan,2023-04-07 10:43:04,2023-04-07 11:42:12
675967519363,"Tasdik Thamrin, M.M.",41,Non-Student,F,flazz,2,Kp. Rambutan - Taman Wiladatika,RS Dharma Nugraha,Jln. Baru Tanah Merdeka,2023-04-22 08:30:55,2023-04-29 05:43:19
675969825727,Latif Sudiati,37,Non-Student,M,flazz,4,Dwikora - Penas Kalimalang,Gg. VIII Muara Baru,Bintaro Kodam,2023-04-09 17:26:24,2023-04-30 11:42:53
675970532189,Hani Oktaviani,27,Non-Student,M,flazz,4,Rawamangun - Tanah Merah,Jln. Perjuangan Raya 3,Jatibening 1,2023-04-09 05:12:15,2023-04-29 19:42:18
675974474768,Dr. Ajimat Hidayat,17,Student,F,flazz,4,Bulak Ringin - Kampung Rambutan,Mampang Prapatan,BNN Arah Barat,2023-04-08 18:52:08,2023-04-29 22:11:47
675983362574,Salwa Waskita,31,Non-Student,M,flazz,39,Kelapa Gading - Rusun Kemayoran,Sbr. Apartemen Gading Nias,Jln. Gading Batavia,2023-04-03 06:03:55,2023-04-28 22:54:22
675987410957,Yessi Novitasari,34,Non-Student,M,flazz,4,Batusari - Grogol,Kejaksaan Agung,Blok M Jalur 2,2023-04-08 13:55:35,2023-04-30 10:00:05
675990206087,Margana Narpati,35,Non-Student,F,flazz,39,Monas - Pantai Indah Kapuk,Monas 2,Monas 3,2023-04-03 06:29:57,2023-04-28 17:22:26
675993490696,Okto Uwais,43,Non-Student,F,flazz,4,Joglo - Blok M,Atrium 1,Jln. Taman Alfa Indah,2023-04-09 06:00:28,2023-04-29 06:32:24
676100508875,Cut Salsabila Kurniawan,41,Non-Student,M,flazz,1,Rusun Flamboyan - Cengkareng,Mall Taman Palem 3,Univ. Satyagama,2023-04-01 14:04:40,2023-04-01 15:47:32
676110340186,Icha Hartati,34,Non-Student,F,flazz,4,Kp. Rambutan - Taman Wiladatika,Dharma Bakti Cijantung,JPO Blok G,2023-04-08 18:03:39,2023-04-30 15:46:00
676145146616,Drs. Julia Ramadan,35,Non-Student,M,flazz,37,Cilincing - Rorotan,Musholla Al Mukhlisin 1,Sbr. SMKN 49,2023-04-03 07:38:41,2023-04-28 21:11:18
676170059098,"Dt. Vinsen Budiyanto, S.H.",15,Student,F,flazz,39,Kalideres - Bundaran HI via Veteran,Jembatan Gantung,Rawa Buaya,2023-04-03 05:10:56,2023-04-28 19:10:07
676170489782,Pia Halim,16,Student,F,flazz,37,Stasiun Tebet - Karet via Patra Kuningan,Telkom Tebet,Stasiun Tebet,2023-04-03 06:11:08,2023-04-28 23:21:59
