transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,tapOutStatus,journeyTime,dayOfWeek,tapInHour,age,age_group,date
CPWM011F7V78TM,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-10 05:45:56,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-10 06:34:24,3500.0,with_data,48.46666666666667,Monday,5,39,Non-Student,2023-04-10
KDKX960X1X91OR,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-10 16:03:35,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-10 17:09:23,3500.0,with_data,65.8,Monday,16,39,Non-Student,2023-04-10
WVWV864A3D33FQ,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-11 17:23:55,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-11 18:33:50,3500.0,with_data,69.91666666666667,Tuesday,17,39,Non-Student,2023-04-11
MXJY130R7M01ZW,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-12 05:33:57,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-12 06:17:02,3500.0,with_data,43.083333333333336,Wednesday,5,39,Non-Student,2023-04-12
NCOD927V3I37OZ,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-12 16:04:34,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-12 17:51:52,3500.0,with_data,107.3,Wednesday,16,39,Non-Student,2023-04-12
GCQS268V5Y16DW,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-13 05:54:30,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-13 06:53:15,3500.0,with_data,58.75,Thursday,5,39,Non-Student,2023-04-13
PDDR309K2K27GA,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-13 16:30:28,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-13 18:21:31,3500.0,with_data,111.05,Thursday,16,39,Non-Student,2023-04-13
OLPS640K9J23RH,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-14 05:17:06,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-14 05:51:37,3500.0,with_data,34.516666666666666,Friday,5,39,Non-Student,2023-04-14
BAKW486P8K67OR,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-14 17:57:42,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-14 19:09:39,3500.0,with_data,71.95,Friday,17,39,Non-Student,2023-04-14
XIDX287T0P01IF,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-17 05:23:42,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-17 06:12:30,3500.0,with_data,48.8,Monday,5,39,Non-Student,2023-04-17
STRG333L9O55FY,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-17 17:09:34,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-17 18:41:25,3500.0,with_data,91.85,Monday,17,39,Non-Student,2023-04-17
WDCW339E2P33RT,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-18 05:35:21,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-18 06:00:20,3500.0,with_data,24.983333333333334,Tuesday,5,39,Non-Student,2023-04-18
SAMU561R3C97TL,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-18 17:30:28,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-18 18:59:59,3500.0,with_data,89.51666666666667,Tuesday,17,39,Non-Student,2023-04-18
KJXW283X5F38II,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-19 05:33:08,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-19 06:21:43,3500.0,with_data,48.583333333333336,Wednesday,5,39,Non-Student,2023-04-19
OKEE539S7E50XX,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-19 17:47:40,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-19 19:20:05,3500.0,with_data,92.41666666666667,Wednesday,17,39,Non-Student,2023-04-19
YEUV101R9X69EV,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-20 06:39:34,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-20 07:36:37,3500.0,with_data,57.05,Thursday,6,39,Non-Student,2023-04-20
OVBS261E8H65MP,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-20 16:50:23,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-20 17:58:40,3500.0,with_data,68.28333333333333,Thursday,16,39,Non-Student,2023-04-20
WMXF809G8A18KI,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-21 05:14:05,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-21 05:38:26,3500.0,with_data,24.35,Friday,5,39,Non-Student,2023-04-21
LENX165Q8U32IB,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-24 06:58:30,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-24 07:27:06,3500.0,with_data,28.6,Monday,6,39,Non-Student,2023-04-24
OTYX724N0W77KO,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-24 17:13:33,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-24 19:07:26,3500.0,with_data,113.88333333333334,Monday,17,39,Non-Student,2023-04-24
JRIX600U4M38BX,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-25 06:55:41,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-25 07:24:26,3500.0,with_data,28.75,Tuesday,6,39,Non-Student,2023-04-25
IHCT005B7A53GF,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-26 06:02:14,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-26 06:55:19,3500.0,with_data,53.083333333333336,Wednesday,6,39,Non-Student,2023-04-26
WAVS827L7D78UT,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-26 16:14:49,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-26 17:10:45,3500.0,with_data,55.93333333333333,Wednesday,16,39,Non-Student,2023-04-26
PAFN790W2M93MS,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-27 06:10:47,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-27 07:01:27,3500.0,with_data,50.666666666666664,Thursday,6,39,Non-Student,2023-04-27
NRRT008P9X37RF,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-27 16:19:50,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-27 17:31:21,3500.0,with_data,71.51666666666667,Thursday,16,39,Non-Student,2023-04-27
URBA981U9W91HZ,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-28 05:11:41,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-28 06:08:31,3500.0,with_data,56.833333333333336,Friday,5,39,Non-Student,2023-04-28
IWJY758S6T99RD,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-28 16:59:39,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-28 18:29:19,3500.0,with_data,89.66666666666667,Friday,16,39,Non-Student,2023-04-28
PKCH500A6B67JP,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-03 08:46:12,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-03 09:48:42,3500.0,with_data,62.5,Monday,8,50,Non-Student,2023-04-03
WHXX984M4I23YI,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-03 19:17:55,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-03 21:14:45,3500.0,with_data,116.83333333333333,Monday,19,50,Non-Student,2023-04-03
WYML084D0L55KP,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-04 09:31:59,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-04 10:46:06,3500.0,with_data,74.11666666666666,Tuesday,9,50,Non-Student,2023-04-04
XUNQ396P3R56AW,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-04 17:40:16,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-04 19:24:48,3500.0,with_data,104.53333333333333,Tuesday,17,50,Non-Student,2023-04-04
BLEZ732S7M53MM,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-05 08:18:27,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-05 08:43:02,3500.0,with_data,24.583333333333332,Wednesday,8,50,Non-Student,2023-04-05
MYMJ249X0B38JB,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-05 20:43:07,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-05 21:41:02,3500.0,with_data,57.916666666666664,Wednesday,20,50,Non-Student,2023-04-05
XLZN476M9S79IR,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-06 06:14:54,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-06 07:30:20,3500.0,with_data,75.43333333333334,Thursday,6,50,Non-Student,2023-04-06
ERCN353V0Q05IB,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-06 20:11:35,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-06 21:47:50,3500.0,with_data,96.25,Thursday,20,50,Non-Student,2023-04-06
EZVS129T7A99MC,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-07 07:34:26,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-07 08:22:52,3500.0,with_data,48.43333333333333,Friday,7,50,Non-Student,2023-04-07
DJYX124J8I21BP,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-07 21:44:43,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-07 23:35:26,3500.0,with_data,110.71666666666667,Friday,21,50,Non-Student,2023-04-07
IYMP090H8U38PV,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-10 09:17:38,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-10 10:49:18,3500.0,with_data,91.66666666666667,Monday,9,50,Non-Student,2023-04-10
KWQK110A1W18JB,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-10 19:56:54,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-10 21:53:01,3500.0,with_data,116.11666666666666,Monday,19,50,Non-Student,2023-04-10
MUTK126A2E75UZ,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-11 06:22:18,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-11 07:43:41,3500.0,with_data,81.38333333333334,Tuesday,6,50,Non-Student,2023-04-11
KVTO062G9F83WD,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-11 21:30:50,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-11 22:37:17,3500.0,with_data,66.45,Tuesday,21,50,Non-Student,2023-04-11
PCOE829M6K24EH,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-12 09:27:00,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-12 11:23:04,3500.0,with_data,116.06666666666666,Wednesday,9,50,Non-Student,2023-04-12
SEZE939W0Q81HI,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-12 19:20:13,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-12 21:18:22,3500.0,with_data,118.15,Wednesday,19,50,Non-Student,2023-04-12
LZBV009U2P89VV,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-13 06:30:03,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-13 07:59:32,3500.0,with_data,89.48333333333333,Thursday,6,50,Non-Student,2023-04-13
ZJUY234X7O50DO,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-13 18:14:04,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-13 19:31:31,3500.0,with_data,77.45,Thursday,18,50,Non-Student,2023-04-13
WCUQ904U3B27GC,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-14 07:25:35,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-14 08:11:32,3500.0,with_data,45.95,Friday,7,50,Non-Student,2023-04-14
QNRF292R2A87WQ,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-14 17:41:19,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-14 18:46:20,3500.0,with_data,65.01666666666667,Friday,17,50,Non-Student,2023-04-14
JWTR624O2V49HP,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-17 20:54:38,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-17 21:57:45,3500.0,with_data,63.11666666666667,Monday,20,50,Non-Student,2023-04-17
ICEH211U3C60IW,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-18 09:10:42,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-18 10:48:02,3500.0,with_data,97.33333333333333,Tuesday,9,50,Non-Student,2023-04-18
FWNR088K9X96XJ,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-18 19:27:50,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-18 20:53:48,3500.0,with_data,85.96666666666667,Tuesday,19,50,Non-Student,2023-04-18
MUMX165P8L35OY,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-19 06:02:47,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-19 06:49:47,3500.0,with_data,47.0,Wednesday,6,50,Non-Student,2023-04-19
SLRH993P5Q03FW,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-20 07:10:21,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-20 08:49:51,3500.0,with_data,99.5,Thursday,7,50,Non-Student,2023-04-20
MAPB410J5R38CE,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-20 20:59:24,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-20 22:27:20,3500.0,with_data,87.93333333333334,Thursday,20,50,Non-Student,2023-04-20
CHFO470S4H25KV,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-21 06:19:52,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-21 08:06:43,3500.0,with_data,106.85,Friday,6,50,Non-Student,2023-04-21
YLYW707L4A00CX,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-21 21:33:45,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-21 23:06:54,3500.0,with_data,93.15,Friday,21,50,Non-Student,2023-04-21
KGBA657M1H60TU,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-24 07:46:27,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-24 08:45:10,3500.0,with_data,58.71666666666667,Monday,7,50,Non-Student,2023-04-24
XKRE007H3Z14SF,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-24 18:59:05,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-24 20:53:07,3500.0,with_data,114.03333333333333,Monday,18,50,Non-Student,2023-04-24
RNFH020P8C28NR,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-25 08:30:44,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-25 09:37:08,3500.0,with_data,66.4,Tuesday,8,50,Non-Student,2023-04-25
PKND675B7J86XT,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-25 20:44:33,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-25 22:00:39,3500.0,with_data,76.1,Tuesday,20,50,Non-Student,2023-04-25
WEOH931B2O16BC,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-26 07:02:39,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-26 08:00:16,3500.0,with_data,57.61666666666667,Wednesday,7,50,Non-Student,2023-04-26
KJVG946P4M19SF,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-26 19:34:44,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-26 21:17:17,3500.0,with_data,102.55,Wednesday,19,50,Non-Student,2023-04-26
CHWV144W3U60NF,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,0.0,P00047,Departemen Kesehatan,-6.228794,106.833205,19,2023-04-27 06:31:44,P00160,Patra Kuningan,-6.232677,106.832087,20.0,2023-04-27 06:56:14,3500.0,with_data,24.5,Thursday,6,50,Non-Student,2023-04-27
CZCI906T0E53KS,4726207758980912,dki,Suci Wacana,M,1974,4D,Pulo Gadung 2 - Kuningan,1.0,P00167,Pemuda Rawamangun,-6.193488,106.89165,17,2023-04-27 21:39:26,P00158,Pasar Pulo Gadung,-6.187434,106.90591,20.0,2023-04-27 22:34:31,3500.0,with_data,55.083333333333336,Thursday,21,50,Non-Student,2023-04-27
